1,227,227,230,01AA
2,215,215,216,01AB
3,184,184,187,01AC
4,174,174,177,01AD
5,227,204,190,01AE
6,220,198,184,01AF
7,143,123,110,01B0
8,106,80,70,01B1
9,85,32,14,01B2
10,237,254,217,01B3
11,226,237,181,01B4
12,205,217,154,01B5
13,191,246,224,01B6
14,208,251,178,01B7
15,209,237,164,01B8
16,201,194,88,01B9
17,229,226,114,01BA
18,217,213,109,01BB
19,247,201,95,01BC
20,247,175,147,01BD
21,215,153,130,01BE
22,188,96,78,01BF
23,237,226,237,1E02
24,224,215,238,1E03
25,218,210,233,1E0A
26,215,202,230,1E0B
27,240,238,249,1E1E
28,144,134,169,1E1F
29,103,64,118,1E40
30,125,119,165,1E41
31,80,81,141,1E56
32,77,46,138,1E57
33,156,89,158,1E60
34,125,48,100,1E61
35,70,5,45,1E6A
150,171,2,73,0132
151,240,206,212,012D
152,226,160,153,0149
153,230,204,217,0163
154,87,36,51,015C
155,152,145,182,016C
156,163,174,209,016A
157,187,195,217,016F
158,76,82,110,0174
159,199,202,215,00CB
160,153,159,183,00CC
161,120,128,164,00CD
162,219,236,245,00BF
163,77,131,97,0041
164,200,216,184,0058
165,239,244,164,01C0
166,192,200,64,01C2
167,167,124,73,01DD
168,209,209,209,01A4
169,132,132,132,01A5
208,131,91,139,0160
209,163,123,167,015F
210,195,159,195,015E
211,227,203,227,015D
221,136,62,67,014D
223,204,132,124,014A
224,235,183,175,0148
225,255,223,213,0147
300,111,47,0,021C
301,179,95,43,021A
304,183,31,51,0112
307,253,237,84,01F2
309,86,74,74,011E
310,0,0,0,01A9
311,28,80,102,00E7
312,53,102,139,00D5
315,129,73,82,0152
316,183,115,127,0150
317,108,108,108,01A6
318,171,171,171,01A2
319,32,95,46,0056
320,105,136,90,0054
321,199,43,59,0111
322,90,143,184,00D4
326,179,59,75,012C
327,99,54,102,0162
333,92,84,120,016E
334,115,159,193,00D3
335,238,84,110,012B
336,37,59,115,00D7
340,173,167,199,016B
341,183,191,221,0169
347,191,45,45,0105
349,210,16,53,010A
350,224,72,72,0109
351,233,106,103,0108
352,253,156,151,0107
353,254,215,204,0106
355,152,68,54,022D
356,197,106,91,022B
367,97,122,82,0055
368,166,194,152,0053
369,215,237,204,0052
370,184,157,100,01CF
371,191,166,113,01CE
372,204,183,132,01CD
400,143,67,15,021B
402,247,167,119,0218
407,187,129,97,0236
413,86,86,86,01A7
414,140,140,140,01A3
415,211,211,214,01A1
420,160,112,66,01E2
422,198,159,123,01E0
433,122,69,31,0247
434,152,94,51,0246
435,184,119,72,0245
436,203,144,81,0244
437,228,187,142,0243
444,255,214,0,01F4
445,255,251,139,01F1
451,145,123,115,023C
452,192,179,174,023B
453,215,206,203,023A
469,114,132,60,0070
470,148,171,79,006F
471,174,191,121,006E
472,216,228,152,006D
498,167,19,43,0113
500,4,77,51,0049
501,57,111,82,0048
502,91,144,113,0047
503,123,172,148,0046
504,196,222,204,0044
505,51,131,98,0039
517,59,118,143,00E5
518,79,147,167,00E3
519,126,177,200,00E2
520,102,109,79,007B
522,150,158,126,007A
523,171,177,151,0075
524,196,205,172,0079
535,99,100,88,018E
543,242,227,206,024C
550,92,24,78,0167
552,128,58,107,0166
553,163,99,139,0165
